param,descrip,unit
mpredEup,Daily mortality for Euphausiids,1/d/mgC
mpredJel,Daily mortality for Large Microzoo.,1/d/mgC
wPhS,Sinking rate for Small Phytoplankton,m/d
wPhL,Sinking rate for Large Phytoplankton,m/d
wDet,Sinking rate for Detritus,m/d
wDetF,Sinking rate for Detritus,m/d
respPhS,Specific respiration rate,d^-1
respPhL,Specific respiration rate,d^-1
respMZL,Specific respiration rate,d^-1
respCop,Specific respiration rate,d^-1
respNCa,Specific respiration rate,d^-1
respEup,Specific respiration rate,d^-1
respJel,Specific respiration rate,d^-1
Q10Jelr,"Q10 for respiration rate, jellyfish",degC
Q10JelTr,"reference temperature for Q10 respiration, jellyfish",1/degC
KtBm_PhS,temperature coefficient for respiration,1/deg C
KtBm_PhL,temperature coefficient for respiration,1/deg C
KtBm_MZL,temperature coefficient for respiration,1/deg C
ktbmC,temperature coefficient for respiration,1/deg C
ktbmN,temperature coefficient for respiration,1/deg C
ktbmE,temperature coefficient for respiration,1/deg C
TmaxPhS,reference temperature for respiration,degC
TmaxPhL,reference temperature for respiration,degC
TmaxMZL,reference temperature for respiration,degC
TrefC,reference temperature for respiration,degC
TrefN,reference temperature for respiration,degC
TrefE,reference temperature for respiration,degC
Feinlo,inshore/surface,micromol Fe m-3 or nM
Feinhi,inshore/deep,micromol Fe m-3 or nM
Feinh,inshore isobath of transition,m
Feofflo,offshore/surface,micromol Fe m-3 or nM
Feoffhi,offshore/deep,micromol Fe m-3 or nM
Feoffh,offshore isobath of transition,m
wNCrise,"upward velocity , tuned not data",m/day
wNCsink,"downward velocity , tuned not data",m/day
RiseStart,Date NCaO begin to move upward,Day of Year
RiseEnd,Date NCaO stop moving upward,Day of Year
SinkStart,Date NCaO begin to move downward,Day of Year
SinkEnd,Date NCaO stop moving downward,Day of Year
RiseStartCM,Date NCaS begin to move upward,Day of Year
RiseEndCM,Date NCaS stop moving upward,Day of Year
SinkStartCM,Date NCaS begin to move downward,Day of Year
SinkEndCM,Date NCaS stop moving downward,Day of Year
Pv0,PON decompositon at 0 deg C,1/d
PvT,Temperature coefficient for remineralization,1/deg C
Nitr0,Nitrification rate at 0C,1/d
ktntr,Temperature coefficient for nitrification,1/deg C
KNH4Nit,Half saturation constant for nitrification,mmolN/m^3
ToptNtr,Optimal temperature for nitrification,degC
q10r,Q10 for growth/feeding and mortality rate,unitless
Rup,maximum specific ingestion rate,1/d
KupD,Half-saturation constant for feeding on benthic prey,mg C/m^2
KupP,Half-saturation constant for feeding on pelagic prey,mg C/m^2
LupD,Lower threshold for feeding on benthic prey,mg C/m^2
LupP,Lower threshold for feeding on pelagic prey,mg C/m^2
Qres,Active metabolic rate,1/d
Rres,Basal metabolism rate,1/d
rmort,linear mortality rate,1/d
eex,fraction of living food excreted (1 - growth efficiency), 
eexD,fraction of detrital food excreted, 
prefD,DetBen->Ben feeding preference, 
prefPL,PhL->Ben feeding preference, 
prefPS,PhS->Ben feeding preference, 
T0benr,Reference temperature for growth/feeding rate,degC
BenPred,Quadratic mortality rate due to undefined predation,1/mgC/d
alphaIb,IcePhL Chl-a specific attenuation coefficient,W^-1 m^-2
betaI,IcePhL photosynthetic efficiency,W^-1 m^-2
inhib,IcePhL NH4 inhibition on NO3 uptake,m^3/mmol N
ksnut1,IcePhL half-saturation constant for NO3,mmolN/m^3
ksnut2,IcePhL half-saturation constant for NH4,mmolN/m^3
mu0,IcePhL maximum growth rate at 0 deg C,1/d
R0i,IcePhL respiration rate,1/d
rg0,IcePhL mortality rate at 0 deg C,1/d
rg,IcePhL temperature coefficient for mortality,1/deg C
annit,IcePhL nitrification factor,1/d
aidz,Ice thickness,m
tI0,Nitrification light threshold ,W m^-2
KI,Nitrification light half-saturation constant,W m^-2
